City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,hami,42.8,93.45,27.39,19,1,2.58,CN,1721762667
215,de aar,-30.6497,24.0123,11.87,23,43,2.84,ZA,1721762668
216,tura,25.5198,90.2201,25.23,95,100,2.44,IN,1721762669
217,ambon,-3.6954,128.1814,26.04,95,40,1.54,ID,1721762670
218,hasaki,35.7333,140.8333,26.22,91,38,4.14,JP,1721762672
219,galveston,29.3669,-94.9669,27.77,79,100,1.79,US,1721762673
220,nuku'alofa,-21.1333,-175.2,19.19,100,20,1.03,TO,1721762674
221,fushun,41.8558,123.9233,22.84,98,74,1.94,CN,1721762675
222,portland,45.5234,-122.6762,23.36,58,0,4.12,US,1721762396
223,naze,28.3667,129.4833,26.51,86,100,5.84,JP,1721762486
224,luderitz,-26.6481,15.1594,13.08,79,3,3.8,NA,1721762679
225,ballito,-29.539,31.2144,17.08,88,20,1.54,ZA,1721762680
226,berdigestyakh,62.0989,126.6992,13.33,65,100,2.0,RU,1721762681
227,kismayo,-0.3582,42.5454,24.83,83,47,6.53,SO,1721762682
228,alofi,-19.0595,-169.9187,21.94,94,20,2.57,NU,1721762683
229,tarawa,1.419,172.984,28.05,83,40,3.09,KI,1721762685
230,dikhil,11.5,42.1667,34.28,32,100,1.14,DJ,1721762686
231,leava,-14.3,-178.1667,27.79,70,100,8.83,WF,1721762687
232,prince rupert,54.3161,-130.3201,14.83,88,100,6.69,CA,1721762403
233,vuktyl,63.8567,57.3094,12.82,73,100,2.05,RU,1721762689
234,coahuayana de hidalgo,18.7,-103.6583,31.97,57,66,1.79,MX,1721762690
235,badger,64.8,-147.5333,25.45,53,20,2.06,US,1721762692
236,arvayheer,46.2639,102.775,12.74,77,100,2.53,MN,1721762693
237,atafu village,-8.5421,-172.5159,27.89,79,99,7.37,TK,1721762694
238,kingston,17.997,-76.7936,33.53,66,20,13.89,JM,1721762695
239,malango,-2.9627,119.9001,19.59,99,100,0.53,ID,1721762696
240,nemuro,43.3236,145.575,17.92,95,35,7.44,JP,1721762698
241,homer,59.6425,-151.5483,14.94,84,100,1.54,US,1721762699
242,santa terezinha,-29.9002,-50.0904,18.41,81,27,3.34,BR,1721762700
243,tsiombe,-25.3,45.4833,19.09,72,0,4.51,MG,1721762701
244,howrah,22.5892,88.3103,28.0,94,40,2.06,IN,1721762702
245,argenton-sur-creuse,46.59,1.5198,24.19,90,27,1.94,FR,1721762704
246,machico,32.7,-16.7667,26.67,77,20,5.14,PT,1721762705
247,iqaluit,63.7506,-68.5145,18.85,45,40,7.2,CA,1721762706
248,beidao,34.5686,105.8933,21.42,90,100,4.18,CN,1721762707
249,hue,16.4667,107.6,30.06,58,75,1.54,VN,1721762708
250,orcopampa,-15.2661,-72.3417,15.63,16,2,4.39,PE,1721762710
251,chonchi,-42.6128,-73.8092,9.51,83,83,1.7,CL,1721762711
252,labrador city,52.9463,-66.9114,16.95,59,75,4.63,CA,1721762712
253,dunedin,-45.8742,170.5036,10.45,51,98,2.59,NZ,1721762713
254,pacocha,-17.5833,-71.3333,18.08,68,40,6.17,PE,1721762714
255,tucupita,9.0622,-62.051,28.85,85,98,2.32,VE,1721762715
256,vila franca do campo,37.7167,-25.4333,24.23,72,88,0.6,PT,1721762717
257,ixtapa,20.7,-105.2,31.57,62,75,4.12,MX,1721762718
258,nizhniy odes,63.6445,54.856,12.31,90,100,1.58,RU,1721762719
259,vorkuta,67.5,64.0,10.34,69,73,3.75,RU,1721762720
260,mili,6.0815,171.735,28.05,78,33,3.6,MH,1721762721
261,el granada,37.5027,-122.4694,34.71,51,0,4.12,US,1721762722
262,port alfred,-33.5906,26.891,15.22,60,0,3.72,ZA,1721762724
263,tarija,-21.5355,-64.7296,25.95,38,1,2.57,BO,1721762725
264,rongelap,11.1635,166.8941,28.04,79,19,6.37,MH,1721762726
265,lihue,21.9789,-159.3672,25.77,80,100,8.23,US,1721762727
266,obock,12.25,43.0833,30.17,50,100,6.73,DJ,1721762728
267,barao de cocais,-19.9458,-43.4872,27.21,29,0,2.62,BR,1721762730
268,banda aceh,5.5577,95.3222,27.65,75,99,5.75,ID,1721762731
269,egilsstadir,65.2653,-14.3948,15.95,51,75,4.63,IS,1721762732
270,kudat,6.8837,116.8477,25.96,94,100,1.03,MY,1721762733
271,nouadhibou,20.931,-17.0347,22.99,78,72,3.09,MR,1721762734
272,miranda,3.2499,-76.2281,27.07,46,100,1.32,CO,1721762736
273,san juan,-31.5375,-68.5364,20.57,23,0,1.56,AR,1721762737
274,takoradi,4.8845,-1.7554,24.14,84,93,4.2,GH,1721762738
275,ranau,5.9538,116.6641,22.01,89,100,1.08,MY,1721762739
276,port augusta,-32.5,137.7667,13.06,51,100,8.27,AU,1721762740
277,ebon,4.582,168.6964,28.38,77,100,5.15,MH,1721762742
278,tolanaro,-25.0319,46.9987,19.04,94,75,2.06,MG,1721762743
279,ust-tsilma,65.441,52.1498,11.13,70,0,2.4,RU,1721762744
280,morondava,-20.2833,44.2833,22.2,75,0,5.5,MG,1721762745
281,bria,6.5423,21.9863,22.1,94,100,1.43,CF,1721762746
282,inirida,3.8653,-67.9239,27.75,83,100,1.39,CO,1721762747
283,iwaki,37.05,140.8833,25.34,73,100,2.33,JP,1721762749
284,boende,-0.2167,20.8667,24.15,82,84,0.53,CD,1721762750
285,saldanha,-33.0117,17.9442,12.03,84,100,3.83,ZA,1721762751
286,amble,55.3333,-1.5833,15.42,88,97,1.54,GB,1721762752
287,muisne,0.6,-80.0333,25.57,76,95,4.09,EC,1721762753
288,newman,37.3138,-121.0208,38.9,13,5,0.4,US,1721762669
289,morrope,-6.5417,-80.0111,21.06,59,0,7.96,PE,1721762756
290,kosigi,15.85,77.2667,25.28,74,100,8.0,IN,1721762757
291,woolgoolga,-30.1106,153.2007,10.93,86,2,2.57,AU,1721762758
292,madang,-5.2246,145.7966,24.68,91,99,2.39,PG,1721762760
293,ilhabela,-23.7781,-45.3581,20.63,76,23,1.01,BR,1721762761
294,mossel bay,-34.1831,22.146,10.96,81,100,1.95,ZA,1721762763
295,jamestown,42.097,-79.2353,27.51,57,100,2.06,US,1721762765
296,kocarli,37.7611,27.7058,29.99,51,0,3.09,TR,1721762766
297,mitu,1.1983,-70.1733,26.68,88,56,1.04,CO,1721762767
298,ouallam,14.3188,2.0866,33.55,47,100,4.35,NE,1721762768
299,saint-pierre,-21.3393,55.4781,19.82,60,0,3.09,RE,1721762769
300,anar darah,32.7587,61.654,33.16,17,0,15.01,AF,1721762771
301,alice springs,-23.7,133.8833,9.75,37,0,3.6,AU,1721762772
302,bel ombre,-4.6167,55.4167,25.91,89,40,4.63,SC,1721762773
303,usinsk,65.9939,57.5281,10.64,78,5,5.42,RU,1721762774
304,tindouf,27.6711,-8.1474,45.25,9,20,6.17,DZ,1721762775
305,aktau,43.65,51.2,27.32,59,3,3.42,KZ,1721762777
306,pacific grove,36.6177,-121.9166,25.45,70,0,2.68,US,1721762778
307,camayenne,9.535,-13.6878,27.05,89,75,4.12,GN,1721762779
308,burang,30.25,81.1667,11.16,78,98,2.5,CN,1721762780
309,cockburn town,21.4612,-71.1419,28.53,79,3,8.26,TC,1721762781
310,tailai,46.3833,123.4,22.37,79,100,0.53,CN,1721762782
311,port macquarie,-31.4333,152.9167,6.15,98,8,0.89,AU,1721762784
312,ribeira brava,32.65,-17.0667,26.67,77,1,4.09,PT,1721762786
313,rouissat,31.9243,5.3502,37.04,20,0,4.63,DZ,1721762787
314,nabire,-3.3667,135.4833,23.79,96,100,1.58,ID,1721762788
315,nueva gerona,21.8833,-82.8,31.32,61,1,6.68,CU,1721762789
316,shamakhi,40.6314,48.6414,23.03,63,0,1.06,AZ,1721762791
317,usogorsk,63.4106,48.6872,13.23,86,6,1.42,RU,1721762792
318,ponta delgada,37.7333,-25.6667,24.4,73,75,3.09,PT,1721762793
319,wenling,28.3669,121.36,26.23,90,3,1.69,CN,1721762794
320,luganville,-15.5333,167.1667,24.69,84,55,4.85,VU,1721762795
321,la punta,-33.1837,-66.3127,19.73,44,0,5.37,AR,1721762797
322,smithers,54.7804,-127.1743,17.18,48,75,2.06,CA,1721762798
323,igarka,67.4667,86.5833,10.84,94,100,6.58,RU,1721762799
324,marat,25.0701,45.4615,34.42,13,19,4.87,SA,1721762800
325,hinton,53.4001,-117.5857,26.47,21,0,0.8,CA,1721762801
326,masuguru,-11.3667,38.4167,23.14,38,6,1.29,TZ,1721762804
327,urla,38.3229,26.764,33.22,43,0,5.92,TR,1721762805
328,barabai,-2.5833,115.3833,23.53,94,99,0.93,ID,1721762806
329,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,3.0,RU,1721762807
330,cooma,-36.2333,149.1333,-0.15,95,100,1.35,AU,1721762808
331,shahr-e babak,30.1165,55.1186,30.31,15,4,4.52,IR,1721762810
332,conduaga,8.862,117.4893,26.55,89,100,2.69,PH,1721762812
333,onega,63.9061,38.1404,17.23,63,60,2.18,RU,1721762813
334,campoverde,-8.4753,-74.8058,31.83,28,5,0.81,PE,1721762814
335,selibaby,15.159,-12.1829,33.99,50,82,3.57,MR,1721762815
336,mhamid,29.82,-5.72,43.02,8,0,3.39,MA,1721762817
337,carnarvon,-24.8667,113.6333,16.24,71,7,8.39,AU,1721762818
338,ippy,6.2679,21.2247,21.48,96,99,1.57,CF,1721762819
339,senillosa,-39.0,-68.4167,20.88,9,66,1.33,AR,1721762820
340,palmer,42.1584,-72.3287,25.78,70,100,1.54,US,1721762821
341,guerrero negro,27.9769,-114.0611,25.75,57,94,5.94,MX,1721762822
342,watsa,3.0372,29.5355,18.39,98,100,0.6,CD,1721762824
343,port lincoln,-34.7333,135.8667,14.47,46,99,10.43,AU,1721762825
344,khandyga,62.6667,135.6,14.35,96,100,0.95,RU,1721762827
345,alotau,-10.3069,150.4462,23.36,97,100,1.37,PG,1721762828
346,puerto baquerizo moreno,-0.9,-89.6,23.55,69,75,6.69,EC,1721762829
347,tazacorte,28.629,-17.9293,24.53,83,40,6.17,ES,1721762831
348,malinyi,-8.9333,36.1333,20.75,47,2,0.97,TZ,1721762832
349,cabo san lucas,22.8909,-109.9124,35.17,36,0,4.63,MX,1721761991
350,tyre,33.2733,35.1939,28.96,71,0,2.35,LB,1721762834
351,klaksvik,62.2266,-6.589,11.51,83,15,6.16,FO,1721762835
352,tabou,4.423,-7.3528,24.65,80,69,3.81,CI,1721762836
353,hilo,19.7297,-155.09,27.38,84,40,1.79,US,1721762800
354,haiku-pauwela,20.9219,-156.3051,27.9,77,20,9.26,US,1721762839
355,krupka,50.6845,13.8582,21.95,72,35,3.13,CZ,1721762840
356,kone,-21.0595,164.8658,19.43,79,100,1.68,NC,1721762841
357,chipinge,-20.1883,32.6236,14.17,54,0,2.55,ZW,1721762842
358,el alcazar,-26.7146,-54.8152,27.1,46,100,1.24,AR,1721762843
359,magong,23.5654,119.5863,28.42,86,99,7.3,TW,1721762845
360,nova sintra,14.8667,-24.7167,24.95,80,100,4.2,CV,1721762846
361,atoka,34.4001,-96.0169,31.31,44,65,2.14,US,1721762847
362,acapulco de juarez,16.8634,-99.8901,31.9,66,40,5.14,MX,1721762848
363,buka,40.8108,69.1986,26.82,22,0,1.46,UZ,1721762849
364,kalibo (poblacion),11.7061,122.3644,23.99,85,100,4.21,PH,1721762851
365,swift current,50.2834,-107.8014,33.45,38,0,7.72,CA,1721762852
366,enid,36.3956,-97.8784,31.82,39,75,5.14,US,1721762853
